culture,carb,min,max,mean,median,stdev,cv
45985,212,0.28811,4.60201,2.13171,2.10402,0.95524,0.44811
45985,131,-1.27513,2.30771,0.78172,0.75111,0.73179,0.93613
45985,132,-0.42122,2.43110,1.11731,1.05324,0.69776,0.62450
45985,142,0.81500,2.82591,1.81567,1.88230,0.42523,0.23420
58243,212,-0.25230,4.76887,2.76826,2.75990,0.86656,0.31303
58243,131,-0.52646,3.02465,1.09562,1.03089,0.78877,0.71992
58243,132,-0.51417,3.60761,1.63194,1.64812,0.74477,0.45637
58243,142,1.45197,3.47952,2.71345,2.70488,0.34150,0.12585
45990,212,-0.14709,6.22768,3.78715,4.28449,1.74311,0.46027
45990,131,-2.53728,2.97466,1.27235,1.37561,0.92813,0.72946
45990,132,-1.31217,3.26642,1.58549,1.73449,0.88664,0.55922
45990,142,0.88622,3.63498,2.48983,2.55193,0.40591,0.16303
46150,212,3.44641,5.93517,4.97401,4.90216,0.45145,0.09076
46150,131,-0.88195,2.56633,1.51122,1.54091,0.50286,0.33275
46150,132,-0.18880,2.96398,1.77485,1.78568,0.43739,0.24644
46150,142,2.04121,3.88308,3.31033,3.30279,0.24249,0.07325
AllFields,212,-0.12022,5.95064,4.66127,4.71764,0.65462,0.14044
AllFields,131,-0.88195,3.43348,1.79779,1.84786,0.59569,0.33134
AllFields,132,-0.81936,3.62087,1.92977,1.97920,0.62586,0.32432
AllFields,142,2.04121,4.11514,3.13646,3.09644,0.37638,0.12000
57802,212,-0.05385,4.74825,2.60383,2.71634,1.04035,0.39954
57802,131,-0.64416,2.08056,0.99444,1.02397,0.49811,0.50090
57802,132,-0.28748,2.24976,1.06137,1.14984,0.51930,0.48927
57802,142,2.00615,3.29787,2.67474,2.70353,0.32079,0.11993
56875,212,2.35061,5.68579,4.40803,4.65577,0.83179,0.18870
56875,131,-0.23283,2.56633,0.97319,0.92426,0.46785,0.48073
56875,132,-0.81936,2.84575,0.97415,0.90577,0.64158,0.65861
56875,142,2.50264,3.54737,3.09297,3.08696,0.24027,0.07768
51790,212,-0.00778,3.68891,2.27618,2.57585,0.98103,0.43100
51790,131,-0.81936,2.71617,1.02853,0.95310,0.83049,0.80745
51790,132,-0.40409,2.73808,1.21750,1.16930,0.75513,0.62023
51790,142,2.56930,3.65972,3.03408,2.99877,0.25017,0.08245
56575,212,-inf,5.60092,nan,1.24393,nan,nan
56575,131,-1.41790,2.48407,0.71993,0.71416,0.89324,1.24072
56575,132,-1.36700,2.57109,0.71508,0.72282,0.88519,1.23788
56575,142,1.90240,3.92985,2.83995,2.81859,0.37488,0.13200
48656,212,-0.34876,6.30742,3.21604,3.18130,1.69330,0.52652
48656,131,-1.00477,2.03973,0.91944,0.99536,0.66361,0.72175
48656,132,-0.04744,2.22766,1.18509,1.23344,0.54591,0.46065
48656,142,1.83368,2.75870,2.37271,2.35460,0.21587,0.09098
GolmFields,212,-0.12022,5.95064,4.57520,4.63774,0.64991,0.14205
GolmFields,131,0.42793,3.43348,2.03413,2.01891,0.47499,0.23351
GolmFields,132,0.57091,3.62087,2.13366,2.12633,0.52964,0.24823
GolmFields,142,2.32890,4.11514,3.07424,2.93174,0.41332,0.13445
56726,212,2.74772,5.83783,4.56344,4.66249,0.66016,0.14466
56726,131,0.42793,3.43348,2.37541,2.42121,0.44119,0.18573
56726,132,1.14601,3.62087,2.59857,2.63044,0.36450,0.14027
56726,142,3.09644,4.11514,3.59073,3.59701,0.19395,0.05401
44443,212,-0.12022,5.95064,4.58101,4.63388,0.64472,0.14074
44443,131,0.54076,3.01532,1.86405,1.89727,0.39254,0.21058
44443,132,0.57091,3.09611,1.90196,1.94600,0.43899,0.23081
44443,142,2.32890,3.51910,2.81685,2.79519,0.19503,0.06924
57803,212,0.55810,5.86073,3.27638,3.47753,1.29667,0.39576
57803,131,0.24848,3.44032,1.84715,1.69185,0.72037,0.38999
57803,132,-0.50758,3.69316,2.00296,2.10620,0.87446,0.43659
57803,142,2.54787,4.18819,3.39163,3.37878,0.38534,0.11362
60319,212,-0.14386,6.26092,2.89207,2.94516,1.47257,0.50917
60319,131,-1.03414,2.82294,0.75366,0.68722,0.76564,1.01590
60319,132,-0.88390,3.07546,0.81107,0.77172,0.73550,0.90683
60319,142,2.31596,4.45984,3.54688,3.57199,0.43697,0.12320
