CultureID,Location,#Parzellen,Pflanzen/Parzelle,mean_Knollenmasse_kgFW,median_Knollenmasse_kgFW,cv_Knollenmasse_kgFW,mean_Staerkegehalt_g/kg,median_Staerkegehalt_g/kg,cv_Staerkegehalt_g/kg,mean_Staerkeertrag_g/plant,median_Staerkeertrag_g/plant,cv_Staerkeertrag_g/plant,mean_Staerkeertrag_kg/ha,median_Staerkeertrag_kg/ha,cv_Staerkeertrag_kg/ha
56876,5545,68,20,31.0261764706,30.15,0.20800500543,201.485294118,203.5,0.122726721657,312.579536765,306.0875,0.241920747863,12629.4762329,12367.1717172,0.241920747863
56877,5519,68,31,48.5498529412,48.075,0.152091172805,205.030477345,209.538989059,0.117923043443,321.265863161,319.290417508,0.194368188175,12980.4389156,12900.6229296,0.194368188175
56878,5544,68,20,32.5308823529,32.4,0.202540183046,206.852941176,215.0,0.129399002505,334.68125,337.045,0.216988053769,13522.4747475,13617.979798,0.216988053769
56879,5541,68,12,14.0661764706,14.05,0.14621375747,207.882352941,209.0,0.117212450908,243.624754902,244.079166667,0.187856042249,10827.7668845,10847.962963,0.187856042249
56880,5546,68,20,27.1897058824,26.525,0.189823924572,197.573529412,200.0,0.133253195795,268.958382353,271.74,0.233852687051,8965.27941176,9058.0,0.233852687051
56881,5540,68,16,21.0029411765,21.55,0.169149085722,203.882352941,205.0,0.107535987839,267.108180147,273.084375,0.192411429344,11871.4746732,12137.0833333,0.192411429344
56882,5542,68,20,21.8529411765,21.45,0.106979945375,220.735294118,224.5,0.0999288473324,240.771323529,241.135,0.133801668609,10700.9477124,10717.1111111,0.133801668609
56883,5543,68,16,16.8514705882,17.35,0.256436891255,186.352941176,189.0,0.147064288924,197.683639706,203.54375,0.312829389146,7987.21776589,8223.98989899,0.312829389146
56884,5539,68,20,28.6397058824,28.0,0.141080312231,207.044117647,210.0,0.0856236475515,295.5075,294.3875,0.143244350106,13133.6666667,13083.8888889,0.143244350106
All,N/A,N/A,N/A,26.8566503268,24.8,0.405995034168,204.093255653,207.0,0.125499469398,275.797825618,271.49,0.259217503674,11402.0825567,11272.3754212,0.261523993686
